"ID","HORA_1","HORA_2","HORA_3","HORA_4","HORA_5","HORA_6","HORA_7","HORA_8","HORA_9","HORA_10","HORA_11","HORA_12","HORA_13","HORA_14","HORA_15","HORA_16","HORA_17","HORA_18","HORA_19","HORA_20","HORA_21","HORA_22","HORA_23","HORA_24","TOTAL","FECHA","TIPO_FECHA","FILE_TYPE"
120,497000,478000,46400,451000,448000,441000,42900,430000,447000,462000,473000,487000,487000,488000,489000,485000,476000,475000,55200,602000,600000,596000,576000,546000,10578500,30-APR-11,"1","txf"
121,514000,491000,473000,458000,452000,43400,426000,423000,424000,425000,43200,446000,45300,45700,45900,460000,456000,453000,525000,588000,60200,60300,575000,53600,7986600,01-MAY-11,"2","txf"
122,499000,478000,462000,450000,445000,437000,420000,428000,464000,482000,501000,516000,503000,515000,53900,538000,528000,519000,561000,611000,620000,617000,58600,539000,11245500,02-MAY-11,"0","txf"
123,502000,481000,465000,45300,449000,440000,423000,431000,467000,486000,504000,520000,507000,519000,542000,542000,532000,523000,565000,615000,624000,621000,59000,543000,11405300,03-MAY-11,"0","txf"
124,495000,474000,458000,446000,442000,434000,416000,42500,460000,478000,497000,512000,499000,511000,53400,534000,524000,51.5,556000,606000,615000,612000,582000,535000,10781951.5,04-MAY-11,"0","txf"
125,499000,478000,462000,450000,446000,437000,420000,428000,46400,482000,501000,516000,50300,515000,539000,538000,528000,51900,56100,61100,620000,617000,586000,539000,9866800,05-MAY-11,"0","txf"
126,510000,489000,473000,461000,456000,447000,429000,438000,475000,493000,512000,528000,515000,52700,551000,551000,540000,531000,574000,625000,634000,631000,600000,552000,12067700,06-MAY-11,"0","txf"
127,529000,509000,491000,478000,473000,460000,451000,452000,475000,489000,502000,519000,514000,505000,509000,507000,500000,496000,565000,621000,624000,618000,597000,563000,12447000,07-MAY-11,"1","txf"
128,532000,508000,489000,47300,468000,449000,441000,438000,439000,439000,44700,46100,469000,472000,475000,476000,471000,46900,543000,608000,622000,624000,59400,554000,9761400,08-MAY-11,"2","txf"
129,514000,492000,476000,463000,459000,450000,432000,441000,478000,497000,516000,531000,518000,531000,555000,554000,544000,535000,577000,629000,638000,635000,604000,555000,12624000,09-MAY-11,"0","txf"
130,506000,485000,469000,457000,452000,444000,426000,43400,471000,489000,508000,524000,511000,523000,547000,546000,536000,527000,569000,620000,629000,626000,595000,547000,12050400,10-MAY-11,"0","txf"
131,508000,486000,47100,458000,454000,445000,42700,436000,473000,491000,510000,525000,512000,525000,548000,548000,538000,529000,571000,622000,631000,628000,597000,54900,11179700,11-MAY-11,"0","txf"
132,506000,485000,469000,457000,452000,444000,426000,434000,471000,489000,508000,52400,510000,523000,546000,546000,536000,527000,56900,620000,629000,626000,595000,547000,11455300,12-MAY-11,"0","txf"
133,477000,457000,442000,430000,426000,418000,401000,409000,444000,46100,479000,494000,481000,493000,515000,515000,505000,496000,536000,584000,592000,590000,561000,516000,11307100,13-MAY-11,"0","txf"
134,475000,457000,441000,429000,425000,413000,405000,406000,427000,440000,451000,466000,46200,454000,457000,456000,449000,445000,508000,558000,560000,555000,536000,505000,10764200,14-MAY-11,"1","txf"
135,490000,468000,451000,436000,430000,413000,406000,403000,404000,404000,412000,424000,431000,435000,437000,438000,434000,431000,500000,559000,573000,574000,547000,510000,11010000,15-MAY-11,"2","txf"
136,477000,457000,442000,430000,426000,418000,401000,409000,444000,461000,479000,49400,481000,493000,515000,515000,505000,497000,536000,58500,593000,590000,561000,516000,10753900,16-MAY-11,"0","txf"
137,469000,44900,434000,42300,419000,411000,394000,40200,436000,453000,470000,485000,473000,484000,50600,506000,496000,488000,527000,574000,582000,580000,551000,507000,9917000,17-MAY-11,"0","txf"
138,47600,456000,441000,429000,425000,417000,40000,408000,443000,460000,478000,49200,480000,491000,514000,513000,504000,495000,535000,583000,591000,588000,559000,514000,10460800,18-MAY-11,"0","txf"
139,486000,46.6,451000,439000,435000,427000,409000,417000,453000,470000,488000,50300,49100,503000,525000,52500,515000,50600,547000,596000,604000,602000,572000,526000,9667546.6,19-MAY-11,"0","txf"
140,493000,473000,457000,445000,441000,433000,415000,423000,459000,477000,495000,510000,498000,510000,533000,532000,522000,51400,555000,604000,61300,610000,580000,53300,10631000,20-MAY-11,"0","txf"
141,503000,485000,467000,455000,451000,438000,430000,430000,452000,466000,478000,494000,489000,481000,485000,483000,476000,472000,538000,59200,594000,589000,569000,536000,11320200,21-MAY-11,"1","txf"
142,490000,46800,451000,436000,430000,413000,406000,40300,404000,404000,412000,424000,431000,435000,437000,43800,434000,431000,500000,559000,573000,574000,547000,510000,9831900,22-MAY-11,"2","txf"
143,473000,453000,438000,427000,422000,415000,398000,406000,440000,457000,475000,489000,47700,489000,511000,510000,501000,492000,53200,579000,587000,585000,556000,511000,10714900,23-MAY-11,"0","txf"
144,489000,46800,453000,441000,437000,429000,412000,420000,45500,473000,491000,506000,493000,505000,528000,52800,518000,50.9,550000,599000,607000,605000,575000,529000,10205150.9,24-MAY-11,"0","txf"
145,491000,470000,455000,443000,438000,43000,413000,421000,457000,474000,493000,508000,495000,507000,530000,530000,520000,511000,552000,601000,61000,60700,57700,531000,10062400,25-MAY-11,"0","txf"
146,499000,478000,463000,450000,446000,43800,420000,428000,465000,483000,501000,517000,504000,516000,539000,539000,529000,52000,561000,612000,620000,618000,587000,540000,11410800,26-MAY-11,"0","txf"
147,508000,487000,471000,459000,454000,44600,428000,436000,473000,491000,510000,526000,513000,525000,549000,549000,538000,529000,571000,623000,631000,629000,597000,549000,12090600,27-MAY-11,"0","txf"
148,479000,462000,44500,433000,429000,41700,40900,410000,431000,44400,45600,470000,466000,45.8,46200,460000,453000,449000,513000,563000,566000,561000,54200,510000,7972545.8,28-MAY-11,"1","txf"
149,489000,467000,45,435000,430000,413000,405000,402000,403000,404000,411000,424000,431000,434000,436000,438000,433000,431000,499000,559000,572000,574000,546000,509000,10545045,29-MAY-11,"2","txf"
150,503000,482000,466000,454000,450000,441000,424000,432000,468000,487000,505000,521000,508000,520000,544000,543000,533000,524000,566000,617000,625000,623000,592000,544000,12372000,30-MAY-11,"0","txf"
151,49300,472000,457000,445000,441000,433000,415000,423000,459000,47700,495000,510000,498000,510000,53300,532000,52200,513000,555000,604000,613000,610000,580000,533000,10300500,31-MAY-11,"0","txf"
152,488000,467000,45100,43800,431000,415000,403000,414000,449000,464000,479000,495000,486000,500000,524000,523000,513000,497000,518000,58000,591000,596000,573000,52900,10025800,01-JUN-11,"0","txf"
153,495000,474000,458000,445000,438000,42.2,409000,421000,45600,472000,487000,503000,494000,507000,532000,532000,521000,505000,52600,589000,600000,606000,582000,538000,10706242.2,02-JUN-11,"0","txf"
154,496000,47500,459000,446000,439000,422000,409000,421000,456000,472000,487000,504000,494000,508000,532000,532000,521000,505000,52.7,590000,60.1,606000,582000,53800,9982412.8,03-JUN-11,"0","txf"
155,504000,484000,467000,453000,445000,426000,416000,418000,438000,451000,462000,473000,473000,473000,475000,470000,459000,45300,500000,56500,566000,568000,552000,528000,10602800,04-JUN-11,"1","txf"
156,493000,471000,456000,440000,430000,408000,397000,395000,395000,397000,404000,417000,426000,43200,440000,441000,435000,432000,478000,543000,55800,570000,551000,51600,9569600,05-JUN-11,"2","txf"
157,51200,490000,474000,45700,447000,425000,413000,411000,411000,413000,421000,433000,443000,450000,45.8,459000,453000,449000,497000,565000,580000,59300,573000,536000,9499245.8,06-JUN-11,"2","txf"
158,505000,484000,46800,454000,447000,43100,41700,429000,465000,481000,496000,513000,504000,518000,543000,542000,531000,515000,53.7,601000,612000,618000,593000,549000,10531653.7,07-JUN-11,"0","txf"
159,51700,495000,478000,464000,457000,440000,427000,439000,475000,492000,508000,525000,515000,529000,555000,554000,543000,527000,549000,615000,626000,632000,607000,561000,12064700,08-JUN-11,"0","txf"
160,528000,505000,489000,474000,467000,450000,436000,44900,486000,503000,519000,536000,526000,541000,567000,567000,55500,538000,561000,628000,640000,646000,620000,573000,11900400,09-JUN-11,"0","txf"
161,550000,52700,509000,494000,487000,469000,454000,468000,506000,524000,54100,559000,549000,564000,591000,59000,578000,561000,585000,654000,667000,673000,646000,597000,11850800,10-JUN-11,"0","txf"
162,553000,531000,512000,497000,488000,467000,456000,458000,481000,495000,507000,519000,519000,519000,521000,515000,503000,497000,548000,620000,621000,623000,605000,579000,12634000,11-JUN-11,"1","txf"
163,567000,542000,524000,506000,49500,469000,456000,454000,454000,45700,465000,479000,489000,497000,506000,507000,501000,497000,549000,625000,641000,655000,633000,593000,11704200,12-JUN-11,"2","txf"
164,559000,535000,51700,502000,494000,476000,462000,475000,514000,532000,549000,568000,557000,573000,60000,600000,587000,570000,594000,665000,677000,683000,657000,60700,12001400,13-JUN-11,"0","txf"
165,548000,525000,507000,49300,485000,467000,453000,46600,504000,522000,539000,557000,547000,562000,589000,588000,576000,559000,583000,652000,664000,670000,644000,595000,12431900,14-JUN-11,"0","txf"
166,532000,510000,493000,478000,471000,454000,440000,453000,49000,507000,52300,541000,531000,546000,572000,571000,560000,543000,56600,63300,645000,651000,625000,578000,10922200,15-JUN-11,"0","txf"
167,506000,485000,469000,455000,448000,432000,41800,431000,46600,48200,498000,515000,505000,519000,544000,544000,532000,516000,538000,603000,614000,61900,595000,550000,10497500,16-JUN-11,"0","txf"
168,510000,488000,47200,458000,451000,435000,421000,434000,469000,486000,501000,518000,509000,523000,548000,548000,536000,52,542000,607000,618000,624000,599000,554000,11426252,17-JUN-11,"0","txf"
169,551000,529000,510000,495000,486000,465000,454000,456000,479000,493000,505000,51700,517000,517000,519000,513000,501000,495000,546000,618000,618000,620000,603000,576000,12117700,18-JUN-11,"1","txf"
